id,title,creator,year,format,category,subcategory,difficulty,credibility,usefulness,status,source_link,tags
karpathy-zero-to-hero,Neural Networks: Zero to Hero,Andrej Karpathy,2023,Course (Video),AI Foundations,Hands-on Learning,Advanced,10,10,core,https://karpathy.ai/zero-to-hero.html,llms; hands-on; gpt; pytorch; course
designing-data-intensive-applications,Designing Data-Intensive Applications,Martin Kleppmann,2017,Book,Engineering and Systems,Distributed Systems,Advanced,10,10,core,https://dataintensive.net/,distributed-systems; databases; data-engineering; systems-design
software-is-changing-again,Software Is Changing (Again),Andrej Karpathy,2025,Talk,AI in Practice,AI software paradigm,Intermediate,10,10,core,https://www.youtube.com/watch?v=vDWaKVmqznQ,Software 3.0; LLMs; agents; Karpathy
artificial-intelligence-index-report-2024,Artificial Intelligence Index Report 2024,Stanford HAI / AI Index Steering Committee,2024,Report,AI in Practice,State of the field,Intermediate,10,10,core,https://hai.stanford.edu/ai-index/2024-ai-index-report,ai index; trend report; stanford; policy
cs224n-natural-language-processing-with-deep-learning,CS224N: Natural Language Processing with Deep Learning,Stanford University,2023,Course,AI Foundations,NLP and LLMs,Advanced,10,10,core,https://web.stanford.edu/class/cs224n/,nlp; llms; stanford; deep learning
10-usability-heuristics-for-user-interface-design,10 Usability Heuristics for User Interface Design,Jakob Nielsen / Nielsen Norman Group,1994,Essay / framework,Product and Design,Usability,Beginner,10,10,core,https://www.nngroup.com/articles/ten-usability-heuristics/,usability; heuristics; ux; framework
refactoring,Refactoring,Martin Fowler,1999,Book / reference,Engineering and Systems,Refactoring,Intermediate,10,10,core,https://martinfowler.com/refactoring/,refactoring; code quality; martin fowler; book
the-lean-startup,The Lean Startup,Eric Ries,2011,Book,Startup History,Lean startup,Beginner,10,10,core,https://www.penguinrandomhouse.com/books/210088/the-lean-startup-by-eric-ries/,lean startup; mvp; iteration; book
vc-an-american-history,VC: An American History,Tom Nicholas / Harvard University Press,2019,Book,Venture Capital and Fundraising,Core Historical Foundations,Intermediate,10,10,core,https://www.hup.harvard.edu/books/9780674988002,history; foundations; venture capital; America
the-money-of-invention-how-venture-capital-creates-new-wealt,The Money of Invention: How Venture Capital Creates New Wealth,Josh Lerner and Paul Gompers / Harvard Business School Press,2001,Book,Venture Capital and Fundraising,Core Historical Foundations,Beginner,10,10,core,https://www.hbs.edu/faculty/Pages/item.aspx?num=10434,VC; wealth creation; finance; classic
the-power-law-venture-capital-and-the-making-of-the-new-futu,The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby / Penguin Press,2022,Book,Venture Capital and Fundraising,Silicon Valley and Modern VC Model,Intermediate,10,10,core,https://www.cfr.org/books/power-law,Power Law; Silicon Valley; firms; strategy
attention-is-all-you-need,Attention Is All You Need,Ashish Vaswani et al. (Google),2017,Paper,AI Foundations,Deep Learning Architectures,Advanced,10,9,core,https://arxiv.org/abs/1706.03762,transformers; attention; nlp; foundational-paper; llms
3blue1brown-neural-networks,Neural Networks (video series),Grant Sanderson (3Blue1Brown),2017,Video Series,AI Foundations,Visual Explainers,Beginner,9,10,core,https://www.3blue1brown.com/topics/neural-networks,neural-networks; explainer; visual-learning; gradient-descent
before-the-startup,Before the Startup,Paul Graham,2014,Recorded lecture,Founder Mental Models,Founding phase,Beginner,10,10,recommended,https://www.youtube.com/watch?v=ii1jcLg-eIQ,idea generation; YC; founder mindset; Paul Graham
continuous-discovery-habits,Continuous Discovery Habits,Teresa Torres,2021,Book,Product and Design,Continuous discovery,Intermediate,9,10,core,https://www.producttalk.org/continuous-discovery-habits/,discovery; customer research; product; book
working-effectively-with-legacy-code,Working Effectively with Legacy Code,Michael Feathers,2004,Book,Engineering and Systems,Legacy code,Advanced,10,10,recommended,https://www.oreilly.com/library/view/working-effectively-with/0131177052/,legacy code; testing; refactoring; book
the-pragmatic-programmer,The Pragmatic Programmer,"Andy Hunt, Dave Thomas",2019,Book,Engineering and Systems,General craft,Intermediate,10,9,core,https://www.oreilly.com/library/view/the-pragmatic-programmer/9780135956977/,software craft; engineering; pragmatic; book
the-innovator-s-dilemma,The Innovator's Dilemma,Clayton M. Christensen,1997,Book,Startup History,Disruption theory,Intermediate,10,9,core,https://store.hbr.org/product/the-innovator-s-dilemma-with-a-new-foreword-when-new-technologies-cause-great-firms-to-fail/10706,disruption; strategy; innovation; book
interview-with-don-valentine-2004-april-21,"Interview with Don Valentine, 2004 April 21",Stanford Silicon Genesis,2004,Oral history interview,Venture Capital and Fundraising,Major Firms and Legendary Investors,Intermediate,10,10,recommended,https://exhibits.stanford.edu/silicongenesis/catalog/nn642hx4425,Don Valentine; Sequoia; oral history; Stanford
oral-history-with-alan-patricof,Oral History with Alan Patricof,Computer History Museum / NVCA,2010,Oral history interview,Venture Capital and Fundraising,Origins of Venture Capital,Intermediate,10,10,recommended,https://archive.computerhistory.org/resources/access/text/2019/03/102781064-05-01-acc.pdf,angel investing; oral history; Patricof; early VC
the-bitter-lesson,The Bitter Lesson,Richard Sutton,2019,Essay,AI Foundations,Research Philosophy,Beginner,9,9,core,http://www.incompleteideas.net/IncIdeas/BitterLesson.html,scaling; research-philosophy; compute; must-read-essay
software-2-0,Software 2.0,Andrej Karpathy,2017,Essay,AI in Practice,AI Engineering Mindset,Intermediate,9,9,core,https://karpathy.medium.com/software-2-0-a64152b37c35,ai-engineering; mental-model; ml-systems; must-read-essay
hard-thing-about-hard-things,The Hard Thing About Hard Things,Ben Horowitz,2014,Book,Startup History,Operating a Company,Intermediate,9,9,core,https://www.harpercollins.com/products/the-hard-thing-about-hard-things-ben-horowitz,startups; leadership; management; operating
how-to-start-a-startup-cs183b,How to Start a Startup (Stanford CS183B),"Sam Altman, Y Combinator, et al.",2014,Lecture Series,Startup History,Startup Curriculum,Beginner,9,9,core,https://startupclass.samaltman.com/,startups; y-combinator; curriculum; lectures
do-things-that-dont-scale,Do Things That Don't Scale,Paul Graham,2013,Essay,Founder Mental Models,Early-stage Tactics,Beginner,9,9,core,https://paulgraham.com/ds.html,startups; growth; early-stage; must-read-essay
how-to-do-great-work,How to Do Great Work,Paul Graham,2023,Essay,Founder Mental Models,Career & Craft,Beginner,9,9,core,https://paulgraham.com/greatwork.html,career; ambition; curiosity; must-read-essay
hamming-you-and-your-research,You and Your Research,Richard Hamming,1986,Talk,Founder Mental Models,Doing Important Work,Intermediate,9,9,core,https://www.cs.virginia.edu/~robins/YouAndYourResearch.html,research; career; great-work; classic-talk
design-of-everyday-things,The Design of Everyday Things,Don Norman,1988,Book,Product and Design,Design Principles,Beginner,9,9,core,https://mitpress.mit.edu/9780262525671/the-design-of-everyday-things/,design; ux; usability; human-centered-design
pg-how-to-raise-money,How to Raise Money,Paul Graham,2013,Essay,Venture Capital and Fundraising,Fundraising Tactics,Intermediate,9,9,core,https://paulgraham.com/fr.html,fundraising; seed; venture-capital; must-read-essay
openai-devday-opening-keynote,OpenAI DevDay: Opening Keynote,Sam Altman and OpenAI,2023,Keynote,AI in Practice,AI product launch,Intermediate,10,9,recommended,https://www.youtube.com/watch?v=U9mJuUkhUzk,OpenAI; developer platform; AI products; keynote
tim-brown-from-design-to-design-thinking,Tim Brown - From Design to Design Thinking,Tim Brown,2009,Talk,Product and Design,Design thinking,Beginner,10,9,recommended,https://www.youtube.com/watch?v=sq8EFbYBtOA,design thinking; IDEO; human-centered design; innovation
the-three-ways-that-good-design-makes-you-happy,The three ways that good design makes you happy,Don Norman,2003,Talk,Product and Design,Usability,Beginner,10,9,recommended,https://www.youtube.com/watch?v=RlQEoJaLQRA,Don Norman; emotional design; UX; usability
steve-jobs-introduces-the-macintosh,Steve Jobs Introduces the Macintosh,Steve Jobs,1984,Historical keynote,Internet and Big Tech History,Personal computing,Beginner,10,9,recommended,https://www.youtube.com/watch?v=1tQ5XwvjPmA,Apple; product launch; Steve Jobs; demo
steve-jobs-the-lost-interview,Steve Jobs: The Lost Interview,"Steve Jobs, Robert X. Cringely",1995,Interview documentary,Internet and Big Tech History,Founder interview,Beginner,10,9,recommended,https://www.youtube.com/watch?v=9m68auPIPRk,Steve Jobs; interview; Apple; product thinking
cs231n-deep-learning-for-computer-vision,CS231n: Deep Learning for Computer Vision,Stanford University,2021,Course,AI Foundations,Computer vision,Advanced,10,9,recommended,https://cs231n.stanford.edu/2021/,computer vision; deep learning; stanford; practical
deep-residual-learning-for-image-recognition,Deep Residual Learning for Image Recognition,"He, Zhang, Ren, Sun",2015,Paper,AI Foundations,Deep vision architecture,Advanced,10,9,recommended,https://arxiv.org/abs/1512.03385,resnet; vision; deep learning; paper
gpt-4-technical-report,GPT-4 Technical Report,OpenAI,2023,Technical report,AI in Practice,Frontier model report,Advanced,10,9,recommended,https://cdn.openai.com/papers/gpt-4.pdf,openai; gpt-4; report; multimodal
training-compute-optimal-large-language-models,Training Compute-Optimal Large Language Models,Hoffmann et al. (DeepMind),2022,Paper,AI Foundations,Scaling laws,Advanced,10,9,recommended,https://arxiv.org/abs/2203.15556,scaling laws; compute; training; llm
computer-history-museum-oral-histories,Computer History Museum Oral Histories,Computer History Museum,,Archive,Internet and Big Tech History,Oral history archive,Intermediate,10,9,recommended,https://computerhistory.org/oral-histories/,oral history; computing; archive; chm
continuous-delivery,Continuous Delivery,Martin Fowler,2013,Essay / book summary,Engineering and Systems,Delivery systems,Intermediate,10,9,recommended,https://martinfowler.com/bliki/ContinuousDelivery.html,deployment; devops; release; continuous delivery
essays-by-paul-graham,Essays by Paul Graham,Paul Graham / Y Combinator,,Essays,Founder Mental Models,Founder essays,Intermediate,9,10,recommended,https://www.ycombinator.com/library/carousel/Essays%20by%20Paul%20Graham,paul graham; essays; yc; founders
yc-startup-library,YC Startup Library,Y Combinator,2023,Library,Startup History,Startup library,Beginner,9,10,recommended,https://www.ycombinator.com/library,yc; startup; founder advice; library
the-mom-test,The Mom Test,Rob Fitzpatrick,2013,Book,Startup History,Customer discovery,Beginner,8,10,core,https://www.momtestbook.com/,customer discovery; interviews; validation; book
how-do-venture-capitalists-make-decisions,How Do Venture Capitalists Make Decisions?,Paul Gompers et al. / NBER,2016,Working paper,Venture Capital and Fundraising,Startup Financing and Fundraising History,Advanced,10,9,recommended,https://www.nber.org/system/files/working_papers/w22587/w22587.pdf,decision-making; NBER; VC process; empirical
venture-capital-data-opportunities-and-challenges,Venture Capital Data: Opportunities and Challenges,Steven N. Kaplan and Josh Lerner / Harvard Business School,2016,Working paper,Venture Capital and Fundraising,LP/GP Fundraising History,Advanced,10,9,recommended,https://www.hbs.edu/ris/Publication%20Files/17-012_10de1f93-30e4-4a98-858c-4137556ec037.pdf,LPs; funds; data; performance
institutions-and-venture-capital,Institutions and venture capital,Josh Lerner / Oxford Academic,2013,Article,Venture Capital and Fundraising,Origins of Venture Capital,Advanced,10,9,recommended,https://academic.oup.com/icc/article/22/1/153/884044,policy; institutions; SBIC; history
silicon-valley,Silicon Valley,PBS American Experience,2013,Documentary,Venture Capital and Fundraising,Silicon Valley and the Modern VC Model,Beginner,10,9,recommended,https://www.pbs.org/wgbh/americanexperience/films/silicon/,documentary; Silicon Valley; PBS; history
bill-draper-the-rise-of-sand-hill-road-and-silicon-valley,Bill Draper: The Rise of Sand Hill Road and Silicon Valley,Stanford,2015,Recorded lecture,Venture Capital and Fundraising,Silicon Valley and the Modern VC Model,Intermediate,10,9,recommended,https://www.youtube.com/watch?v=KxDxRUYEMXg,Bill Draper; Sand Hill Road; VC; history
cisco-oral-history-panel-john-morgridge-and-don-valentine,Cisco oral history panel: John Morgridge and Don Valentine,Computer History Museum,2014,Oral history panel,Venture Capital and Fundraising,Major Firms and Legendary Investors,Advanced,10,9,recommended,https://archive.computerhistory.org/resources/access/text/2015/09/102739934-05-01-acc.pdf,Cisco; Don Valentine; board; history
the-economics-within-the-private-equity-partnership,The Economics within the Private Equity Partnership,"Victoria Ivashina, Josh Lerner et al. / Harvard Business School",2016,Working paper,Venture Capital and Fundraising,LP/GP Fundraising History,Advanced,10,9,recommended,https://www.hbs.edu/ris/Publication%20Files/16-119_4925d447-80c5-4764-ad17-912b2baa918d.pdf,LP; GP; carry; fees
venture-capital-booms-and-start-up-financing,Venture Capital Booms and Start-Up Financing,"William Janeway, Ramana Nanda, Matthew Rhodes-Kropf / Harvard Business School",2021,Working paper / review,Venture Capital and Fundraising,"Bubbles, Booms, and Crashes",Advanced,10,9,recommended,https://www.hbs.edu/ris/Publication%20Files/21-116_c8365ab5-7cad-4ba3-9e02-ddec0191413f.pdf,cycles; booms; financing; startup market
oral-history-with-charles-w-newhall-iii,Oral History with Charles W. Newhall III,Computer History Museum / NVCA,2010,Oral history interview,Venture Capital and Fundraising,Origins of Venture Capital,Intermediate,10,9,recommended,https://archive.computerhistory.org/resources/access/text/2021/05/102792196-05-01-acc.pdf,angel; VC history; Newhall; oral history
oral-history-with-henry-f-mccance,Oral History with Henry F. McCance,Computer History Museum / NVCA,2010,Oral history interview,Venture Capital and Fundraising,Origins of Venture Capital,Intermediate,10,9,recommended,https://archive.computerhistory.org/resources/access/text/2019/03/102781068-05-01-acc.pdf,McCance; angel capital; history; VC
